itemid,title,price,stock_status,page,size,mass,ISBN,original_title,publish_date,publish_company,writer,artist,image_url
375359719,그랜트 모리슨 : 뉴 엑스맨 옴니버스,144000,in stock,1088,167*257,1632,9.79117E+12,원제 : New X-Men Omnibus By Grant Morrison,10/15/25,시공사(만화),그랜트 모리슨,"프랭크 콰이틀리, 에단 반 스카이버, 레이닐 프랜시스 유, 이고르 코르데이, 존 폴 레온, 필 히메네스, 케론 그랜트, 크리스 배챌로, 마크 실베스트리",https://image.aladin.co.kr/product/37535/97/cover500/k722032029_1.jpg
370287218,뉴 어벤저스 BOOK 2 : 시빌 워,53000,in stock,432,167*257,830,9.79117E+12,원제 : New Avengers BOOK 2 : Civil War,7/25/25,시공사(만화),브라이언 마이클 벤디스,"데이비드 핀치, 스티브 맥니븐",https://image.aladin.co.kr/product/37028/72/cover500/k032030737_1.jpg
370286699,뉴 어벤저스 BOOK 1 : 어셈블드,53000,in stock,424,167*257,806,9.79117E+12,원제 : New Avengers BOOK 1 : Assembled,7/25/25,시공사(만화),브라이언 마이클 벤디스,"데이비드 핀치, 스티브 맥니븐",https://image.aladin.co.kr/product/37028/66/cover500/k922030737_1.jpg
370286350,센트리 : 리본,27000,in stock,192,167*257,395,9.79117E+12,원제 : The Sentry : Reborn,7/25/25,시공사(만화),폴 젠킨스,존 로미타 주니어,https://image.aladin.co.kr/product/37028/63/cover500/k882030736_1.jpg
368525530,데어데블 : 백 인 블랙 BOOK 3,51000,in stock,416,167*257,790,9.79117E+12,원제 : Daredevil: Back In Black,6/25/25,시공사(만화),"찰스 소울, 제드 맥케이","마이크 퍼킨스, 필 노토, 이반 코엘로",https://image.aladin.co.kr/product/36852/55/cover500/k412030306_1.jpg
368525310,데어데블 : 백 인 블랙 BOOK 2,51000,in stock,416,167*257,790,9.79117E+12,원제 : Daredevil: Back In Black,6/25/25,시공사(만화),찰스 소울,"론 가니, 고란 수주카",https://image.aladin.co.kr/product/36852/53/cover500/k322030306_1.jpg
368524959,데어데블 : 백 인 블랙 BOOK 1,51000,in stock,416,167*257,790,9.79117E+12,원제 : Daredevil: Back In Black,6/25/25,시공사(만화),찰스 소울,"론 가니, 고란 수주카",https://image.aladin.co.kr/product/36852/49/cover500/k282030306_1.jpg
364900732,시크릿 워즈,36000,in stock,312,167*257,780,9.79117E+12,원제 : Secret Wars,5/25/25,시공사(만화),조나단 힉맨,에사드 리빅,https://image.aladin.co.kr/product/36490/7/cover500/k842039111_1.jpg
364898916,헐크 : 레드 헐크는 누구인가?,51000,in stock,296,167*257,780,9.79117E+12,원제 : Hulk : Who Is The Red Hulk?,4/25/25,시공사(만화),제프 로브,에드 맥기네스,https://image.aladin.co.kr/product/36489/89/cover500/k812039110_1.jpg
349368820,조커: 더 월드,37000,out of stock,184,167*257,276,9.79117E+12,원제 : Joker: The World,10/10/24,시공사(만화),"전인표, 제프 존스","박재광, 제이슨 파보크",https://image.aladin.co.kr/product/34936/88/cover500/k902934363_1.jpg
